creating web directory ./results/unet512_220509/test_latest
processing (0000)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0001.jpg']
processing (0005)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0006.jpg']
processing (0010)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0011.jpg']
processing (0015)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0016.jpg']
processing (0020)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0021.jpg']
processing (0025)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0026.jpg']
processing (0030)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0031.jpg']
processing (0035)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0036.jpg']
processing (0040)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0041.jpg']
processing (0045)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0046.jpg']
processing (0050)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0051.jpg']
processing (0055)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0056.jpg']
processing (0060)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0061.jpg']
processing (0065)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0066.jpg']
processing (0070)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0071.jpg']
processing (0075)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0076.jpg']
processing (0080)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0081.jpg']
processing (0085)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0086.jpg']
processing (0090)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0091.jpg']
processing (0095)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0096.jpg']
processing (0100)-th image... ['/home/guest1/ellen_data/UKB_quality_data2_combined/input_20220221_512/testA/0101.jpg']
